n,case,eps,rc to prev,rc to 1
2,1,0.05,0.19261497215246387,0.19261497215246387
3,1,0.05,-0.0516436866800719,0.13102393820065936
4,1,0.05,0.00988292189618592,0.14220175944461308
5,1,0.05,-0.005630818893619418,0.135770228197207
6,1,0.05,0.0030970967459260377,0.13928781847507624
7,1,0.05,-0.0010573493535125924,0.13808319323674687
8,1,0.05,0.00026460251535823516,0.13838433291236424
9,1,0.05,-5.57413312194551e-05,0.13832087785420832
10,1,0.05,1.1333128169343626e-05,0.13833377859061488
2,1,0.1,0.38522994430492774,0.38522994430492774
3,1,0.1,-0.1778507148362556,0.1388658084977098
4,1,0.1,0.07851896973673127,0.22828837844933947
5,1,0.1,-0.0837787784725348,0.12538387849084326
6,1,0.1,0.10002177127573628,0.23794676738265538
7,1,0.1,-0.062277326686739236,0.16085075212957298
8,1,0.1,0.03320485291354395,0.19939663060861232
9,1,0.1,-0.013543889046682932,0.18315213572068392
10,1,0.1,0.005582694600942505,0.18975731276086538
2,1,0.15,0.5778449164573914,0.5778449164573914
3,1,0.15,-0.35131418796899805,0.023525610891151415
4,1,0.15,0.2948643105510385,0.3253267844779013
5,1,0.15,-0.3930759093841985,-0.19562724656198544
6,1,0.15,1.0626596113167162,0.6591471909602119
7,1,0.15,-0.5292910740691487,-0.21902460778192953
8,1,0.15,0.8432947787317269,0.4395678627935318
9,1,0.15,-0.28920389744837655,0.02323922623221261
10,1,0.15,0.2481581903639499,0.2771644209234068
2,T = 0,0.05,0.15571573781567538,0.15571573781567538
3,T = 0,0.05,-0.04794668144095461,0.10030300349832938
4,T = 0,0.05,0.012083438696366992,0.11359844738852992
5,T = 0,0.05,-0.006521903201170074,0.10633566610968864
6,T = 0,0.05,0.0032547966289680104,0.10993656370624953
7,T = 0,0.05,-0.001072527338790482,0.10874612639735141
8,T = 0,0.05,0.0002662766098864512,0.10904135955711325
9,T = 0,0.05,-5.644503080080793e-05,0.10897875968341367
10,T = 0,0.05,1.1608101373616334e-05,0.10899163282127726
2,T = 0,0.1,0.31143147563135093,0.31143147563135093
3,T = 0,0.1,-0.16901450162516235,0.08978053836196691
4,T = 0,0.1,0.09760089061736943,0.1961440894835712
5,T = 0,0.1,-0.09714924939488792,0.07993958902211062
6,T = 0,0.1,0.106699230458146,0.19516831211205626
7,T = 0,0.1,-0.06374665977785118,0.11898032434258037
8,T = 0,0.1,0.03377167911484295,0.15677016879210087
9,T = 0,0.1,-0.01385371796355862,0.140744601124997
10,T = 0,0.1,0.00577784596099284,0.14733564771113147
2,T = 0,0.15,0.46714721344702614,0.46714721344702614
3,T = 0,0.15,-0.33992131415660476,-0.03156739540908768
4,T = 0,0.15,0.3706783345930973,0.3274095896263272
5,T = 0,0.15,-0.44318293930040814,-0.260875693959817
6,T = 0,0.15,1.1838578555914825,0.6141424220044567
7,T = 0,0.15,-0.5376407845777371,-0.2536863761822283
8,T = 0,0.15,0.8651522627930526,0.39198854421699986
9,T = 0,0.15,-0.29505829846772713,-0.01872922712623664
10,T = 0,0.15,0.2582181998818494,0.23465274544189765
2,sig = 0,0.05,7.478520769842553,7.478520769842553
3,sig = 0,0.05,-0.1511492132055051,6.196999026334318
4,sig = 0,0.05,-0.05654516426625017,5.790043534166201
5,sig = 0,0.05,0.02322550810732307,5.947745745318055
6,sig = 0,0.05,-0.0018612919056025913,5.934813962400109
7,sig = 0,0.05,-0.0005776781269816356,5.930807872059344
8,sig = 0,0.05,0.00021172215212511995,5.932275277617982
9,sig = 0,0.05,-3.351204936754662e-05,5.93204296286665
10,sig = 0,0.05,2.647153588482934e-06,5.932061313049054
2,sig = 0,0.1,14.957041539685106,14.957041539685106
3,sig = 0,0.1,-0.3212429422637261,9.830954565652165
4,sig = 0,0.1,-0.30058698128689787,6.575310628307236
5,sig = 0,0.1,0.33308672109113185,9.098546006736896
6,sig = 0,0.1,-0.040977884647770496,8.684728953362628
7,sig = 0,0.1,-0.02647361459919358,8.428339171553654
8,sig = 0,0.1,0.019921632865350973,8.616167083059354
9,sig = 0,0.1,-0.006184644653903137,8.55669450671807
10,sig = 0,0.1,0.0009831111986098717,8.566089800109319
2,sig = 0,0.15,22.435562309527654,22.435562309527654
3,sig = 0,0.15,-0.4921450374965028,10.901866617953537
4,sig = 0,0.15,-0.9231995821533101,-0.08593167058559904
5,sig = 0,0.15,13.974752972224465,12.687947432714552
6,sig = 0,0.15,-0.22957592907979504,9.545524183653713
7,sig = 0,0.15,-0.2769364336525576,6.625084325235854
8,sig = 0,0.15,0.4208761267230531,9.834300281977786
9,sig = 0,0.15,-0.14068440451407407,8.310083198481076
10,sig = 0,0.15,0.0387952108024405,8.671269838754409
2,ps = ms,0.05,0.19162402820524027,0.19162402820524027
3,ps = ms,0.05,-0.052031448831426255,0.12962210355538129
4,ps = ms,0.05,0.010305959212938011,0.14126394288065627
5,ps = ms,0.05,-0.0057792699784626885,0.13466827043806415
6,ps = ms,0.05,0.003144505149042583,0.13823624065691187
7,ps = ms,0.05,-0.001076268783990124,0.13701119252228658
8,ps = ms,0.05,0.0002724962079169664,0.13732102376060804
9,ps = ms,0.05,-5.8577236666481035e-05,0.13725440263783345
10,ps = ms,0.05,1.2202562592296745e-05,0.137268280055865
2,ps = ms,0.1,0.38324805641048054,0.38324805641048054
3,ps = ms,0.1,-0.17929372642171956,0.13524035781104454
4,ps = ms,0.1,0.08203964381761547,0.22837507241324498
5,ps = ms,0.1,-0.08591086016924032,0.12284431333177025
6,ps = ms,0.1,0.10168377365187686,0.23701936033489507
7,ps = ms,0.1,-0.06338064150814296,0.15861627971887676
8,ps = ms,0.1,0.03422910518292638,0.19827467822402506
9,ps = ms,0.1,-0.014232969902659303,0.18121967079374374
10,ps = ms,0.1,0.006015170766127954,0.18832490882587755
2,ps = ms,0.15,0.5748720846157209,0.5748720846157209
3,ps = ms,0.15,-0.3543254892252985,0.016854762766989884
4,ps = ms,0.15,0.30911952551325583,0.33118442454941616
5,ps = ms,0.15,-0.4013339233824041,-0.20306504330054895
6,ps = ms,0.15,1.0879391798432012,0.6639517198794289
7,ps = ms,0.15,-0.5367103380899442,-0.22910837026240347
8,ps = ms,0.15,0.8789833642890965,0.44849254794665366
9,ps = ms,0.15,-0.3017628134458531,0.01139136142291918
10,ps = ms,0.15,0.27007272311476677,0.2845405805371582
2,ps = ms T = 0,0.05,0.1554750999552149,0.1554750999552149
3,ps = ms T = 0,0.05,-0.0483107673953884,0.09965321117011537
4,ps = ms T = 0,0.05,0.012434140184317124,0.11332645335193907
5,ps = ms T = 0,0.05,-0.0066608360875709755,0.10591076833420507
6,ps = ms T = 0,0.05,0.003308499194600772,0.10956967322053911
