n,case,eps,rc to prev,rc to 1
2,1,0.05,-0.4748381538919644,-0.4748381538919644
3,1,0.05,0.17067517137428445,-0.3852060658082398
4,1,0.05,-0.030724176911449085,-0.40409510340643323
5,1,0.05,0.01453811548927715,-0.3954317691991302
6,1,0.05,-0.005991799446891665,-0.39905422079005115
7,1,0.05,0.0017954779838248863,-0.3979752358740072
8,1,0.05,-0.00041476069685375083,-0.3982249320846993
9,1,0.05,8.372735087535402e-05,-0.39817454705243993
10,1,0.05,-1.6576192244693497e-05,-0.3981845230268457
2,1,0.1,-1.1107714893972986,-1.1107714893972986
3,1,0.1,-3.785686363081027,-0.6914253725677704
4,1,0.1,-0.572781160795049,-0.8681711058603027
5,1,0.1,1.2298256955335447,-0.7060445444335313
6,1,0.1,-0.4612327792824085,-0.8416264361896802
7,1,0.1,0.5099901384324278,-0.7608574804580183
8,1,0.1,-0.15631989019491302,-0.7982402128537557
9,1,0.1,0.07477493010123955,-0.7831536388726543
10,1,0.1,-0.027550042239319592,-0.7891277652811555
2,1,0.15,-1.7660145698833707,-1.7660145698833707
3,1,0.15,-1.305558729292539,-0.7659375614068664
4,1,0.15,-2.7012780490849497,-1.398205288893792
5,1,0.15,-2.1846933323009217,-0.5282488493605624
6,1,0.15,-2.3132539669795946,-1.6195290700044298
7,1,0.15,-1.5740141488452144,-0.6443815481965399
8,1,0.15,-1.9037234848405782,-1.3213807465374343
9,1,0.15,-1.2752024638546469,-0.9115552267174524
10,1,0.15,-2.75233862854395,-1.1549851927158201
2,T = 0,0.05,-0.7701281277943125,-0.7701281277943125
3,T = 0,0.05,0.701610019617208,-0.6088477190266359
4,T = 0,0.05,-0.10238555599289668,-0.6488960627919836
5,T = 0,0.05,0.04933300744194268,-0.6315750496448052
6,T = 0,0.05,-0.01835936637741452,-0.6383390982909569
7,T = 0,0.05,0.005418201327529936,-0.6363795467132013
8,T = 0,0.05,-0.0012399738359226357,-0.6368304265614833
9,T = 0,0.05,0.0002522112193556335,-0.6367388311205334
10,T = 0,0.05,-5.046936457529851e-05,-0.6367571646809017
