n,case,eps,rc to prev,rc to 1
7,sig = 0,0.15,1.255514582251441,1.999542241400673
8,sig = 0,0.15,-1.1737203661568885,-1.5210815764791785
9,sig = 0,0.15,-4.6919684035291676,0.9238167160222942
10,sig = 0,0.15,0.02324786726367751,0.9685413516760245
2,ps = ms,0.05,0.1772792747373372,0.1772792747373372
3,ps = ms,0.05,-0.02545372194713306,0.14731313542405056
4,ps = ms,0.05,-0.001985512269509908,0.14503513111669622
5,ps = ms,0.05,-0.007101263870215875,0.13690393450996932
6,ps = ms,0.05,0.0019985954506190405,0.13917614554127183
7,ps = ms,0.05,0.00059189610224657,0.13985041946159
8,ps = ms,0.05,-0.0005045694925676227,0.13927528571383926
9,ps = ms,0.05,0.00013970861182553067,0.1394344522824935
10,ps = ms,0.05,-1.2490607059911827e-05,0.1394202200544795
2,ps = ms,0.1,0.3545585494746746,0.3545585494746746
3,ps = ms,0.1,-0.08848975727157202,0.23469399222152793
4,ps = ms,0.1,-0.014759960422295064,0.21646995776269268
5,ps = ms,0.1,-0.10694809590440235,0.08637081205506396
6,ps = ms,0.1,0.06692995816422109,0.1590815650567403
7,ps = ms,0.1,0.03723079738417849,0.20223509595710426
8,ps = ms,0.1,-0.06123354738157665,0.12861797624502058
9,ps = ms,0.1,0.03610313005207171,0.16936461782050052
10,ps = ms,0.1,-0.006231504384672011,0.16207771707727178
2,ps = ms,0.15,0.5318378242120116,0.5318378242120116
3,ps = ms,0.15,-0.17605992589869154,0.262142570392432
4,ps = ms,0.15,-0.0487315123833001,0.200636454093863
5,ps = ms,0.15,-0.5485648240140646,-0.4579904710510075
6,ps = ms,0.15,1.0187040100146318,0.09415680955547283
7,ps = ms,0.15,0.44924610770521933,0.58570249746743
8,ps = ms,0.15,-0.7932241440872893,-0.672115008863249
9,ps = ms,0.15,3.184933391796472,0.3721768480770797
10,ps = ms,0.15,-0.20415221579817844,0.0920439040751834
2,ps = ms T = 0,0.05,0.1480504389127175,0.1480504389127175
3,ps = ms T = 0,0.05,-0.026324461796244498,0.11782862899339792
4,ps = ms T = 0,0.05,0.0001273299882842102,0.1179709620996314
5,ps = ms T = 0,0.05,-0.006621566575483189,0.1105682429446317
6,ps = ms T = 0,0.05,0.001809641749467935,0.11257797360269756
7,ps = ms T = 0,0.05,0.0005097340208300206,0.11314509244666898
8,ps = ms T = 0,0.05,-0.0004395948912337379,0.11265575955082752
9,ps = ms T = 0,0.05,0.00012164767333804404,0.11279111153520305
10,ps = ms T = 0,0.05,-1.0782670208564469e-05,0.11277911267563634
2,ps = ms T = 0,0.1,0.296100877825435,0.296100877825435
3,ps = ms T = 0,0.1,-0.09326993118012523,0.17521363814815671
4,ps = ms T = 0,0.1,0.000968900302809601,0.17635230299802446
5,ps = ms T = 0,0.1,-0.10068710383626658,0.05790879651803104
6,ps = ms T = 0,0.1,0.06079104481386213,0.12222017757613761
7,ps = ms T = 0,0.1,0.0323426781476737,0.15851578359030785
8,ps = ms T = 0,0.1,-0.05406452942194995,0.09588117292259626
9,ps = ms T = 0,0.1,0.03161849008475725,0.1305312809227215
10,ps = ms T = 0,0.1,-0.005434096518834068,0.12438786482462634
2,ps = ms T = 0,0.15,0.4441513167381523,0.4441513167381523
3,ps = ms T = 0,0.15,-0.1883433447183521,0.17215502746427636
4,ps = ms T = 0,0.15,0.0032785713308053797,0.17599802133258013
5,ps = ms T = 0,0.15,-0.5098820241853025,-0.4236222302223863
6,ps = ms T = 0,0.15,0.8472994197857846,0.0647423196876103
7,ps = ms T = 0,0.15,0.38829079074874856,0.4781719569427693
8,ps = ms T = 0,0.15,-0.7239827803381789,-0.5919990862625836
9,ps = ms T = 0,0.15,2.176574462426617,0.2960452832250019
10,ps = ms T = 0,0.15,-0.18222631254176225,0.05987173037576594
