n,case,eps,rc to prev,rc to 1
2,1,0.05,0.1745215482158852,0.1745215482158852
3,1,0.05,-0.02687422247064034,0.14295719483257058
4,1,0.05,-0.001702844079358514,0.14101091694038972
5,1,0.05,-0.006622617234015236,0.13345443837766077
6,1,0.05,0.0016743574910672737,0.13535224630734186
7,1,0.05,0.0006332799403607187,0.13607124211017177
8,1,0.05,-0.00046122952459189495,0.13554725251127078
9,1,0.05,0.00010633869044375871,0.13566800511903984
10,1,0.05,1.1790476716708972e-06,0.13566934412575707
2,1,0.1,0.34904309643177056,0.34904309643177056
3,1,0.1,-0.09359034849754672,0.2227856828985116
4,1,0.1,-0.012733403208106831,0.20721545976106462
5,1,0.1,-0.10015085213338065,0.08631180275740309
6,1,0.1,0.05590462480076111,0.1470416565071941
7,1,0.1,0.040116879034050965,0.19305738788831067
8,1,0.1,-0.05621747062648106,0.12598671922899335
9,1,0.1,0.027453847421976745,0.1568993868178783
10,1,0.1,0.0005925938305170455,0.15758495825703553
2,1,0.15,0.5235646446476557,0.5235646446476557
3,1,0.15,-0.1864569261618234,0.2394854641978231
4,1,0.15,-0.042396223761198226,0.18693596110893954
5,1,0.15,-0.5156763158554759,-0.4251388024720968
6,1,0.15,0.8022237870561632,0.036028524440378795
7,1,0.15,0.5059203756442464,0.5601764647034095
8,1,0.15,-0.7345100241684214,-0.5857887880928941
9,1,0.15,1.9126905230914488,0.2064690714800512
10,1,0.15,0.02184529204749977,0.23282474069280878
2,T = 0,0.05,0.1453279896769703,0.1453279896769703
3,T = 0,0.05,-0.02753527013538481,0.11379107408759771
4,T = 0,0.05,0.00036859330792724925,0.1142016100239355
5,T = 0,0.05,-0.006180963268625589,0.10731477079853406
6,T = 0,0.05,0.001520683116226181,0.10899864567483525
7,T = 0,0.05,0.0005449213652516565,0.10960296273089862
8,T = 0,0.05,-0.00040081633826586776,0.10915821573444787
9,T = 0,0.05,9.229493033780691e-05,0.10926058541470268
10,T = 0,0.05,1.1457167744232579e-06,0.1092618563131626
2,T = 0,0.1,0.2906559793539406,0.2906559793539406
3,T = 0,0.1,-0.0977391840857824,0.16450831699645005
4,T = 0,0.1,0.0028203211971673746,0.16779260448715283
5,T = 0,0.1,-0.09435701783264323,0.057603176880729676
6,T = 0,0.1,0.05094916242646345,0.11148717292236973
7,T = 0,0.1,0.03479688522753359,0.1501634645104252
8,T = 0,0.1,-0.04949523898321279,0.09323584896472173
9,T = 0,0.1,0.023971623479085415,0.11944248710994233
10,T = 0,0.1,0.0005812714980932048,0.1200931871214539
2,T = 0,0.15,0.4359839690309109,0.4359839690309109
3,T = 0,0.15,-0.19765697001192914,0.1521517287265572
4,T = 0,0.15,0.009620668879586871,0.163236199007679
5,T = 0,0.15,-0.47955348856353325,-0.3945977782498379
6,T = 0,0.15,0.6758838673540005,0.014583816691365919
7,T = 0,0.15,0.4342146273403524,0.4551309505615597
8,T = 0,0.15,-0.6684358413670948,-0.517530730676357
9,T = 0,0.15,1.3921041501629567,0.15411674147517576
10,T = 0,0.15,0.021674665559294724,0.1791318358630332
2,sig = 0,0.05,0.5745406199886978,0.5745406199886978
3,sig = 0,0.05,-0.02028548138159798,0.5426003055573473
4,sig = 0,0.05,-0.022196327841575447,0.508360243446682
5,sig = 0,0.05,-0.011092894905152813,0.49162816178701724
6,sig = 0,0.05,0.0032375254170192032,0.49645734587354434
7,sig = 0,0.05,0.0015305207908882692,0.4987477049540813
8,sig = 0,0.05,-0.0010740940446997973,0.49713790896968263
9,sig = 0,0.05,0.00024890232433709566,0.49751055007507833
10,sig = 0,0.05,1.5173495078116312e-06,0.4975128223219744
2,sig = 0,0.1,1.1490812399773955,1.1490812399773955
3,sig = 0,0.1,-0.05944924526294103,1.021319982251994
4,sig = 0,0.1,-0.13551565278652397,0.74739948536667
5,sig = 0,0.1,-0.15320669875238033,0.4796861788120341
6,sig = 0,0.1,0.10443693600824036,0.6342200695809043
7,sig = 0,0.1,0.08969598641139945,0.7808030507352692
8,sig = 0,0.1,-0.1157084080229709,0.5747491647322414
9,sig = 0,0.1,0.06057861475197608,0.670145287713552
10,sig = 0,0.1,0.0006965803629805654,0.6713086781242977
2,sig = 0,0.15,1.7236218599660933,1.7236218599660933
3,sig = 0,0.15,-0.10554432467572145,1.4361590300839395
4,sig = 0,0.15,-0.3794833036643406,0.5116773530959706
5,sig = 0,0.15,-0.8965528336170029,-0.8436212613368724
6,sig = 0,0.15,7.504164204534567,0.32987047168923556
