n,case,eps,rc to prev,rc to 1
2,1,0.05,-0.1966818526421365,-0.1966818526421365
3,1,0.05,0.02227456814985402,-0.17878828782279932
4,1,0.05,-0.0022247631114659496,-0.18061528934675494
5,1,0.05,0.0017461679066548854,-0.17918450606180855
6,1,0.05,-0.00048514786273884885,-0.1795827229443956
7,1,0.05,6.931417360758655e-05,-0.1795258563988231
8,1,0.05,-3.5943750839852244e-06,-0.1795288054906419
9,1,0.05,-8.673962277198067e-07,-0.17952951716426097
10,1,0.05,3.8966508156547186e-07,-0.17952919745556337
2,1,0.1,-0.393363705284273,-0.393363705284273
3,1,0.1,0.11798545504252922,-0.3217894460069241
4,1,0.1,-0.021550847455249496,-0.33640545819856915
5,1,0.1,0.034497771028971926,-0.31351292563942784
6,1,0.1,-0.018562534851301105,-0.32625586588221367
7,1,0.1,0.00540184134057035,-0.3226164069655695
8,1,0.1,-0.0005572673396550897,-0.32299389071838575
9,1,0.1,-0.0002691090139067794,-0.3231760791648634
10,1,0.1,0.00024185145966177537,-0.32301238831167545
2,1,0.15,-0.5900455579264093,-0.5900455579264093
3,1,0.15,0.3928292191675441,-0.4290034745523744
4,1,0.15,-0.08639114066084898,-0.4783325156991763
5,1,0.15,0.2221596123361636,-0.36243906961852357
6,1,0.15,-0.1517763994897798,-0.4592057720871782
7,1,0.15,0.07665708985541095,-0.41775006036477746
8,1,0.15,-0.011077139504600713,-0.42419972417266216
9,1,0.15,-0.008109219134881487,-0.42886901478727124
10,1,0.15,0.011018184021587584,-0.42257618849176676
2,T = 0,0.05,-0.12515629538919867,-0.12515629538919867
3,T = 0,0.05,0.030417028562891253,-0.09854614943798634
4,T = 0,0.05,-0.006131338495954773,-0.10407326813426387
5,T = 0,0.05,0.0018704358072805325,-0.10239749469428237
6,T = 0,0.05,-0.00039501898079784335,-0.10275206472108983
7,T = 0,0.05,5.562704055746959e-05,-0.10270215347380396
8,T = 0,0.05,-4.077627604755987e-06,-0.10270581232027265
9,T = 0,0.05,-4.739308696147962e-07,-0.10270623757568731
10,T = 0,0.05,3.3762113253136103e-07,-0.10270593463035103
2,T = 0,0.1,-0.25031259077839724,-0.25031259077839724
3,T = 0,0.1,0.14197995390554272,-0.14387200697354835
4,T = 0,0.1,-0.05164759233477486,-0.1880889565437675
