n,case,eps,rc to prev,rc to 1
2,1,0.05,-0.42056170263867565,-0.42056170263867565
3,1,0.05,0.08151429382182933,-0.37332919901594414
4,1,0.05,-0.016522491551869186,-0.3836833620310063
5,1,0.05,0.01544494206858237,-0.3741643872616717
6,1,0.05,-0.0017402924659760434,-0.3752535242634597
7,1,0.05,-0.0017259945936620826,-0.3763318333029904
8,1,0.05,0.0008811148216855254,-0.37578231003750023
9,1,0.05,-0.00016728558904881754,-0.37588673266146033
10,1,0.05,-1.078758721824312e-05,-0.3758934653377658
2,1,0.1,-1.014234383839692,-1.014234383839692
3,1,0.1,-16.00445526465912,-0.7864208244573516
4,1,0.1,-0.4676540406956273,-0.8863019889083118
5,1,0.1,1.6152356907730365,-0.7026529034231086
6,1,0.1,-0.14133424412444343,-0.7446782305604014
7,1,0.1,-0.3259222321896202,-0.8278932715827589
8,1,0.1,0.4928069412582912,-0.7430778811814869
9,1,0.1,-0.1254618491275542,-0.7753118052902267
10,1,0.1,-0.018499332261666314,-0.7794683868594368
2,1,0.15,-1.6334084313781723,-1.6334084313781723
3,1,0.15,-0.8688472923131187,-1.0830732308469475
4,1,0.15,4.356738336551229,-1.4450015604190132
5,1,0.15,-2.2431456656334707,-0.44679823896497267
6,1,0.15,-0.6193684063890015,-0.7894339321088267
7,1,0.15,-4.833104696710551,-1.8071217838015288
8,1,0.15,-1.927700741231872,-0.25123252290293097
9,1,0.15,-1.1845720559822377,-1.138201552700439
10,1,0.15,1.241394797645383,-1.3097642412492785
2,T = 0,0.05,-0.7138177618756385,-0.7138177618756385
3,T = 0,0.05,0.3307473264005788,-0.6191637517526721
4,T = 0,0.05,-0.056645747505155095,-0.6407365057117008
5,T = 0,0.05,0.04390352770440775,-0.6249635709370323
6,T = 0,0.05,-0.004865763037367129,-0.626788409331233
7,T = 0,0.05,-0.004444936143026632,-0.6284473110195931
8,T = 0,0.05,0.002288763612809412,-0.6275969147448132
9,T = 0,0.05,-0.00043309282748827933,-0.6277581998499716
10,T = 0,0.05,-2.8719962358174623e-05,-0.6277688906204602
2,T = 0,0.1,-1.427635523751277,-1.427635523751277
3,T = 0,0.1,-0.8853708811901171,-1.0490194832594117
4,T = 0,0.1,3.5206823939559566,-1.221601514931641
5,T = 0,0.1,-1.1388322704948457,-0.9692345585369428
6,T = 0,0.1,-1.898065681408921,-1.0276293871513666
7,T = 0,0.1,3.842637097717503,-1.1337990952064079
8,T = 0,0.1,-0.8135385594640895,-1.0249483720345882
9,T = 0,0.1,1.65497720105108,-1.0662373589551721
10,T = 0,0.1,0.08263726960800084,-1.0717110334452726
2,T = 0,0.15,-2.1414532856269153,-2.1414532856269153
3,T = 0,0.15,-0.7463170870271921,-1.2895671945202185
4,T = 0,0.15,2.011499810463178,-1.872031551413992
5,T = 0,0.15,-1.465093452956522,-0.5944238346658335
6,T = 0,0.15,-1.0933476069172405,-1.0378595644566155
7,T = 0,0.15,31.942769236034707,-2.247198895271068
8,T = 0,0.15,-1.4911949168615122,-0.3873822423275576
9,T = 0,0.15,-1.7273276226363012,-1.4455738172726793
10,T = 0,0.15,0.47225942676054095,-1.656000252797381
